new_clean_name,old_sf_name,old_lg_name,osa_govt_lvl,lg_govt_lvl,new_entity_for_osa,new_entity_for_lg,name_changed_in_salesforce,name_cnt,sf_id,lg_id,primary_email,primary_first_name,primary_last_name,primary_title,primary_phone
Alpine Treatment Services,ALPINE TREATMENT SERVICES,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl7QAF,,,,,,
Alpine Vision Center,ALPINE VISION CENTER,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl8QAF,,,,,,
Alta Canyon Recreation Special Service District,Alta Canyon Recreation Special Service District,Alta Canyon Recreation Special Service District,Local and Special Service District,Special Service District,FALSE,FALSE,FALSE,1,0014100000rD1B2AAK,15,wdowns@sandy.utah.gov,Wendy,Downs,City Recorder,8015687118
Alta Canyon Spine,ALTA CANYON SPINE LLC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWl9QAF,,,,,,
Alta Community Enrichment,Alta Community Enrichment,Alta Community Enrichment - Alta Arts Council,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0011K00002YgyNlQAJ,16,director@altaarts.org,Sara,Gibbs,,8016477496
Alta Medical Clinic,ALTA MEDICAL CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlAQAV,,,,,,
Alta Pain Physicians,ALTA PAIN PHYSICIANS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlBQAV,,,,,,
Alta Special Service District,Alta Special Service District,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0014100000wOOemAAG,,,,,,
Alta Town,Alta Town,Town of Alta,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1pJAAS,1413,jen@townofalta.com,Jen,Clancy,Town Clerk,3857073585
Alta View Family Medicine,ALTA VIEW FAMILY MEDICINE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlCQAV,,,,,,
Alta View Hospital,ALTA VIEW HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,4,0011K00002EhWlDQAV,,,,,,
Alta View Hospital,ALTA VIEW HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,4,0011K00002FzxNRQAZ,,,,,,
Alta View Hospital,ALTA VIEW HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,4,0011K00002FzxNcQAJ,,,,,,
Alta View Hospital,ALTA VIEW HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,4,0011K00002FzxNwQAJ,,,,,,
Alta View Internal Medicine,ALTA VIEW INTERNAL MEDICINE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlEQAV,,,,,,
Alta View Nurse Midwives,ALTA VIEW NURSE MIDWIVES,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlFQAV,,,,,,
Alta View Plastic Surgery Specialists,ALTA VIEW PLASTIC SURGERY SPECIALISTS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlGQAV,,,,,,
Alta View Senior Clinic,ALTA VIEW SENIOR CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlHQAV,,,,,,
Alta View Specialty Clinic,ALTA VIEW SPECIALTY CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlIQAV,,,,,,
Alta View Urological Associates,ALTA VIEW UROLOGICAL ASSOCIATES,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlJQAV,,,,,,
Alta Vista Chiropractic,ALTA VISTA CHIROPRACTIC LLC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlKQAV,,,,,,
Altamont Town,Altamont Town,Altamont Town,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1pKAAS,17,altamonttown@gmail.com,Amanda,Gardner,,435 454-3469
Alternative Energy Interlocal Entity,Alternative Energy Interlocal Entity,,Interlocal,,FALSE,TRUE,FALSE,1,0014100000yPbZJAA0,,,,,,
Alton Town,Alton Town,Alton Town,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1pLAAS,18,altontowninc@outlook.com,Carrie,Heaton,Clerk,4356482635
Amalga Town,Amalga Town,Amalga Town,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1pMAAS,19,amalga6590@gmail.com,Shantrell,Ritter,Clerk,4357644255
Amber Creek Counseling and Psychiatry,AMBER CREEK COUNSELING AND PSYCHIATRY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlLQAV,,,,,,
Ambulance Service of Tooele,Ambulance Service of Tooele,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002f3cv7QAA,,,,,,
American Academy of Innovation,American Academy of Innovation,American Academy of Innovation,School District or Charter School,Charter School,FALSE,FALSE,FALSE,1,0014100000rD1p5AAC,20,jana.short@aaiutah.org,Jana,Short,,801-810-4786
American Conservation Experience,,American Conservation Experience,,Nonprofit Corporation,TRUE,FALSE,,1,,21,lcraig@usaconservation.org,Laura,Craig,CFO,8286105802
American Festival Chorus,American Festival Chorus,American Festival Chorus and Orchestra,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100001g7pxMAAQ,22,grant.baer@usu.edu,Grant,Baer,,435-797-8355
American Fork City,American Fork City,American Fork City,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zKAAS,23,tlurker@americanfork.gov,Terilyn,Lurker,City Recorder,8017633000
American Fork City Redevelopment Agency,American Fork City Redevelopment Agency,,Redevelopment Agency/Project Area,,FALSE,TRUE,FALSE,1,0014100000rD1ZXAA0,,,,,,
American Fork Dermatology,AMERICAN FORK DERMATOLOGY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlMQAV,,,,,,
American Fork Hospital,AMERICAN FORK HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,3,0011K00002EhWlNQAV,,,,,,
American Fork Hospital,AMERICAN FORK HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,3,0011K00002FzxNdQAJ,,,,,,
American Fork Hospital,AMERICAN FORK HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,3,0011K00002FzxNxQAJ,,,,,,
American Fork Internal Medicine and Dermatology,AMERICAN FORK INTERNAL MEDICINE AND DERMATOLOGY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlOQAV,,,,,,
American Fork Maternal Fetal Medicine,AMERICAN FORK MATERNAL FETAL MEDICINE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlPQAV,,,,,,
American Fork Metropolitan Water District,American Fork Metropolitan Water District,Metropolitan Water District of American Fork,Local and Special Service District,Local District,FALSE,FALSE,FALSE,1,0014100000rD1B3AAK,731,tlurker@americanfork.gov,Terilyn,Lurker,,8017633000
American Fork Physical Medicine and Rehabilitation,AMERICAN FORK PHYSICAL MEDICINE AND REHABILITATION,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlQQAV,,,,,,
American Fork Specialty,AMERICAN FORK SPECIALTY,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlRQAV,,,,,,
American Fork Surgical Associates,AMERICAN FORK SURGICAL ASSOCIATES,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlSQAV,,,,,,
American Fork Wound Care,AMERICAN FORK WOUND CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlTQAV,,,,,,
American Indian Services,American Indian Services,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002YgyXRQAZ,,,,,,
American International School of Utah,American International School of Utah,,School District or Charter School,,FALSE,TRUE,FALSE,1,0014100000rD1ooAAC,,,,,,
American Leadership Academy,American Leadership Academy,American Leadership Academy,School District or Charter School,Charter School,FALSE,FALSE,FALSE,1,0014100000rD1hlAAC,24,jsearle@americanleadership.net,Jan,Searle,,801-787-6013
American Preparatory Academy - Utah Charter Academies,American Preparatory Academy- Utah Charter Academies,American Preparatory Academy – Draper 1,School District or Charter School,Charter School,FALSE,FALSE,TRUE,6,0014100000rD1hmAAC,25,lbrunson@apamail.org,Lisa,Brunson,Executive Director - Compliance,8017970089
American Preparatory Academy - Utah Charter Academies,American Preparatory Academy- Utah Charter Academies,American Preparatory Academy – Draper 2,School District or Charter School,Charter School,FALSE,FALSE,TRUE,6,0014100000rD1hmAAC,26,lbrunson@apamail.org,Lisa,Brunson,Executive Director - Compliance,8017970089
American Preparatory Academy - Utah Charter Academies,American Preparatory Academy- Utah Charter Academies,American Preparatory Academy – Draper 3,School District or Charter School,Charter School,FALSE,FALSE,TRUE,6,0014100000rD1hmAAC,27,lbrunson@apamail.org,Lisa,Brunson,Executive Director - Compliance,8017970089
American Preparatory Academy - Utah Charter Academies,American Preparatory Academy- Utah Charter Academies,American Preparatory Academy – Salem,School District or Charter School,Charter School,FALSE,FALSE,TRUE,6,0014100000rD1hmAAC,28,lbrunson@apamail.org,Lisa,Brunson,Executive Director - Compliance,8017970089
American Preparatory Academy - Utah Charter Academies,American Preparatory Academy- Utah Charter Academies,American Preparatory Academy – The Accelerated School,School District or Charter School,Charter School,FALSE,FALSE,TRUE,6,0014100000rD1hmAAC,29,lbrunson@apamail.org,Lisa,Brunson,Executive Director - Compliance,8017970089
American Preparatory Academy - Utah Charter Academies,American Preparatory Academy- Utah Charter Academies,American Preparatory Academy – The School for New Americans,School District or Charter School,Charter School,FALSE,FALSE,TRUE,6,0014100000rD1hmAAC,30,lbrunson@apamail.org,Lisa,Brunson,,8017970089
American Red Cross,,American Red Cross,,Nonprofit Corporation,TRUE,FALSE,,1,,31,sheryl.fraser@redcross.org,Sheryl,Fraser,,385-499-2561
American Wellness and Rehab Clinic,AMERICAN WELLNESS & REHAB CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlUQAV,,,,,,
American West Heritage Center,American West Heritage Center,American West Heritage Foundation,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0011K00002J1I1KQAV,32,mbowen@awhc.org,Ross,Bowen,,435-245-6050
American West Symphony and Chorus of Sandy,American West Symphony & Chorus of Sandy,American West Symphony & Chorus,Non Profits,Nonprofit Corporation,FALSE,FALSE,TRUE,1,0014100001g9mNCAAY,33,junec.christensen@gmail.com,June,Christensen,Treasurer,8012550098
Ames Eyecare,"AMES EYECARE, INC.",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlVQAV,,,,,,
Amy De La Garza MD,"AMY DE LA GARZA, MD",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlWQAV,,,,,,
And Justice for All,And Justice For All,And Justice For All,Non Profits,Governmental Nonprofit Corporation,FALSE,FALSE,TRUE,1,0014100000rD1YEAA0,34,staci@andjusticeforall.org,Staci,Duke,Director of Development,(801) 924-3169
Anderson Petersen and Co CPAs,"Anderson, Petersen & Co., CPAs",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100000rD0xSAAS,,,,,,
Andrews and Company,"Andrews & Company, LLC",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100000rD0xTAAS,,,,,,
Andrus Vision Center,ANDRUS VISION CENTER,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlXQAV,,,,,,
Angell Springs Special Service District,Angell Springs Special Service District,Angell Springs Special Service District,Local and Special Service District,Special Service District,FALSE,FALSE,FALSE,1,0014100000rD1B4AAK,35,jwojoangellsprings@gmail.com,Jean,Wojtyla,Clerk,4352566297
Anh Tai Nguyen MD,"ANH TAI NGUYEN, MD",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlYQAV,,,,,,
Annabella Town,Annabella Town,Annabella Town,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1pNAAS,36,annabellatown@hotmail.com,Tina,Mitchell,,435-896-6571
Annliza Piacitelli MD,ANNLIZA PIACITELLI MD,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlZQAV,,,,,,
Anonymous,Anonymous,,City,,FALSE,TRUE,FALSE,1,0011K00002OkFStQAN,,,,,,
Anthony S Gordon MDPC,"ANTHONY S GORDON, MDPC",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlaQAF,,,,,,
Antimony Cemetery Maintenance District,Antimony Cemetery Maintenance District,Antimony Cemetery Maintenance District,Local and Special Service District,Local District,FALSE,FALSE,FALSE,1,0014100000rD1B5AAK,37,rhenrie222@gmail.com,Raymond,Henrie,Secretary-Treasure (CFO),4356243488
Antimony Town,Antimony Town,Antimony Town,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1pOAAS,38,antimonytown@scinternet.net,Roma,Henrie,clerk,4356243488
Apollo Chiropractic,APOLLO CHIROPRACTIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlbQAF,,,,,,
Apollo Health Centers,APOLLO HEALTH CENTERS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlcQAF,,,,,,
Apple Valley Town,Apple Valley Town,Apple Valley,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1pPAAS,39,accounting@applevalleyut.gov,Jauna,McGinnis,Town Administrator,4358771190
Apple Valley Vision,APPLE VALLEY VISION,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWldQAF,,,,,,
Arches Family Foot Care,ARCHES FAMILY FOOT CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWleQAF,,,,,,
Arches Foot and Ankle Clinic PLLC,ARCHES FOOT AND ANKLE CLINIC PLLC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlfQAF,,,,,,
Arches Special Service District,Arches Special Service District,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0014100000rD1ODAA0,,,,,,
Argyle Dental PC,"ARGYLE DENTAL, PC",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlgQAF,,,,,,
Ariel Gonzales Psychiatric NP,ARIEL GONZALES PSYCHIATRIC NP,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWlhQAF,,,,,,
Aristotle Academy,Aristotle Academy,,School District or Charter School,,FALSE,TRUE,FALSE,1,0014100000rD1hnAAC,,,,,,
Arrowhead Springs Public Infrastructure District,Arrowhead Springs Public Infrastructure District,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002ZFts5QAD,,,,,,
Art Access,Art Access,Art Access,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100000rD1YUAA0,40,erin@artaccessutah.org,Erin,Call,Finance Director,8016991357
Art City Family Medical Center,ART CITY FAMILY MEDICAL CENTER,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWliQAF,,,,,,
Artes De Mexico En Utah,Artes de Mexico en Utah,,Non Profits,,FALSE,TRUE,TRUE,1,0014100001t4FWJAA2,,,,,,
